id;user;uid;version;changeset;timestamp
26786406;Clémentvialle;1779160;8;39432607;2016-05-19T19:30:59Z
26786414;Rodolfogb20;2402504;8;39450482;2016-05-20T13:17:55Z
26786422;Bonix-mapper;2030995;13;45871327;2017-02-07T01:21:36Z
26786430;Naoliv;463507;12;39367096;2016-05-17T04:15:49Z
26786446;Bonix-mapper;2030995;11;45871327;2017-02-07T01:21:36Z
26786447;Bonix-mapper;2030995;8;45812839;2017-02-04T19:01:59Z
26786451;Bonix-mapper;2030995;7;45812839;2017-02-04T19:01:59Z
26786452;Bonix-mapper;2030995;10;45812839;2017-02-04T19:01:59Z
26786454;O fim;1842197;16;54635234;2017-12-14T20:26:04Z
26786455;Bonix-mapper;2030995;5;45812839;2017-02-04T19:02:00Z
26786456;Bonix-mapper;2030995;10;45812839;2017-02-04T19:02:00Z
26786458;Bonix-mapper;2030995;8;45812839;2017-02-04T19:02:00Z
26786459;Vgeorge;62817;6;17248488;2013-08-07T00:14:13Z
26786460;O fim;1842197;11;22430163;2014-05-19T18:16:57Z
26786461;Bonix-mapper;2030995;7;45812839;2017-02-04T19:02:00Z
26786463;O fim;1842197;9;22430163;2014-05-19T18:16:57Z
26786464;O fim;1842197;6;22430163;2014-05-19T18:16:57Z
26786466;Felipeviz;5445582;12;46841258;2017-03-14T13:36:01Z
26786470;Bonix-mapper;2030995;8;45810237;2017-02-04T17:15:53Z
26786475;O fim;1842197;6;22337460;2014-05-14T17:00:58Z
26786476;O fim;1842197;5;22337460;2014-05-14T17:00:58Z
26786477;Guilherme marani cardoso;7263732;10;55280386;2018-01-09T02:28:42Z
26786506;Bonix-mapper;2030995;7;45820142;2017-02-05T03:37:03Z
26786508;Bonix-importer;2281531;6;51657853;2017-09-01T23:19:50Z
27226503;Bonix-mapper;2030995;4;41595380;2016-08-21T15:02:56Z
27226505;Bonix-mapper;2030995;7;41595380;2016-08-21T15:02:55Z
27226593;Bonix-mapper;2030995;10;50393479;2017-07-19T02:22:48Z
27226641;Carlosassuncao92;6251065;11;50981823;2017-08-09T19:22:08Z
27226651;Bonix-mapper;2030995;8;45609970;2017-01-29T03:25:44Z
27226695;Bonix-mapper;2030995;9;45817783;2017-02-04T23:28:19Z
27226870;Bonix-mapper;2030995;7;45609970;2017-01-29T03:25:44Z
27226941;Bonix-mapper;2030995;8;45609970;2017-01-29T03:25:44Z
27226949;Thundercel;82797;6;40179157;2016-06-21T12:01:38Z
27227014;Dressypear4;3984659;7;55429007;2018-01-14T12:11:34Z
27227029;Bonix-mapper;2030995;4;50393464;2017-07-19T02:20:28Z
27227046;Bonix-mapper;2030995;6;45609970;2017-01-29T03:25:45Z
27227058;Bonix-mapper;2030995;6;50393452;2017-07-19T02:19:04Z
27227069;Bonix-mapper;2030995;5;50393452;2017-07-19T02:19:04Z
27227125;Bonix-mapper;2030995;12;45792180;2017-02-03T22:15:51Z
27227200;Alien9;2450358;9;26710363;2014-11-11T13:02:43Z
27227338;Bonix-mapper;2030995;8;45811206;2017-02-04T17:45:13Z
27227479;O fim;1842197;12;53234504;2017-10-25T12:29:02Z
27227554;Bonix-mapper;2030995;11;45817783;2017-02-04T23:28:21Z
27227599;Bonix-mapper;2030995;12;45670602;2017-01-31T01:46:36Z
27496500;Bonix-mapper;2030995;21;42426253;2016-09-25T16:11:55Z
30079851;Bonix-mapper;2030995;9;45819681;2017-02-05T02:59:10Z
30079859;Bonix-mapper;2030995;8;45609495;2017-01-29T02:55:02Z
30079961;Bonix-mapper;2030995;8;41596636;2016-08-21T16:18:55Z
30080360;Carlosassuncao92;6251065;20;50981795;2017-08-09T19:21:02Z
30080362;Bonix-mapper;2030995;37;45817198;2017-02-04T22:47:59Z
30080363;Bonix-mapper;2030995;4;45610490;2017-01-29T04:08:40Z
30080364;Erickdeoliveiraleal;463504;10;24132464;2014-07-14T04:35:39Z
30080459;Mcpicoli;713822;6;13349711;2012-10-03T16:08:56Z
30080862;O fim;1842197;3;21959745;2014-04-26T17:41:37Z
30080863;O fim;1842197;3;21959745;2014-04-26T17:41:37Z
30081009;O fim;1842197;3;21959745;2014-04-26T17:41:36Z
30081010;O fim;1842197;3;21959745;2014-04-26T17:41:36Z
30081011;Rodolfogb20;2402504;6;39290501;2016-05-13T12:21:47Z
30081012;Erickdeoliveiraleal;463504;5;40908047;2016-07-20T22:25:50Z
30081200;Bonix-mapper;2030995;5;45609970;2017-01-29T03:25:45Z
30081201;Bonix-mapper;2030995;4;45609970;2017-01-29T03:25:45Z
30081203;Bonix-mapper;2030995;4;45609970;2017-01-29T03:25:45Z
30081273;Bonix-mapper;2030995;6;45610288;2017-01-29T03:49:50Z
30081274;Vgeorge;62817;2;17248488;2013-08-07T00:14:18Z
30451955;Erickdeoliveiraleal;463504;4;24132464;2014-07-14T04:34:02Z
30635457;Vgeorge;62817;7;24092583;2014-07-12T00:11:06Z
30635459;Bonix-mapper;2030995;10;45610036;2017-01-29T03:31:19Z
30635460;Bonix-mapper;2030995;9;45610036;2017-01-29T03:31:19Z
30635638;O fim;1842197;5;22855496;2014-06-10T18:10:11Z
30635639;Bonix-mapper;2030995;12;45609970;2017-01-29T03:25:45Z
30635644;Bonix-mapper;2030995;10;45610036;2017-01-29T03:31:19Z
30636004;Bonix-mapper;2030995;16;50393375;2017-07-19T02:06:13Z
30636006;Cxs;251808;12;20178646;2014-01-24T15:12:35Z
